,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,23726706,0.9500000000000001,f,1,1,IJburg - Zeeburgereiland,52.34916,4.97879,Private room,2,1.0,1.0,6,$88.00,2,14,t,0,6,20,66,78,11,3,4.99,t,1.53,,$44,$176,5%,11%,16%,$4.99,,
1,35815036,1.0,t,1,1,Noord-Oost,52.42419,4.95689,Entire home/apt,2,,1.0,5,$105.00,3,100,t,4,6,12,243,95,36,6,4.96,f,2.65,,$52.5,$315,5%,12%,16%,$4.99,0.6648351648351648,528.8873626373627
2,31553121,1.0,f,1,1,Noord-West,52.43237,4.91821,Entire home/apt,4,1.0,3.0,3,$152.00,2,60,t,0,3,3,3,82,26,1,4.74,f,2.02,,$38,$304,7%,11%,22%,$4.99,,
3,34745823,0.9400000000000001,f,3,3,Gaasperdam - Driemond,52.2962,5.01231,Entire home/apt,2,1.0,2.0,8,$87.00,2,1125,t,5,20,26,290,39,4,0,4.87,f,1.08,,$43.5,$174,6%,10%,15%,$4.99,,
4,44586947,0.88,t,0,0,Gaasperdam - Driemond,52.31475,5.0303,Private room,4,2.0,3.0,4,$160.00,2,31,t,9,32,62,152,15,12,3,5.0,f,0.68,,$40,$320,9%,22%,20%,$4.99,,
5,15801253,0.86,f,0,0,Watergraafsmeer,52.34507,4.96413,Private room,3,1.0,3.0,1,$90.00,2,1125,t,3,15,19,164,46,7,1,4.77,f,0.89,,$30,$180,6%,14%,16%,$4.99,,
6,19572024,1.0,f,2,2,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3.0,6.0,14,$279.00,3,300,t,6,10,30,298,126,23,3,4.69,f,2.13,,$46.5,$837,9%,16%,14%,$4.99,0.8164383561643835,1496.5479452054794
7,18801518,0.62,f,1,1,Watergraafsmeer,52.33828,4.96443,Private room,4,2.0,3.0,10,$140.00,2,1125,t,0,8,14,234,85,5,0,4.66,f,1.42,,$35,$280,5%,17%,17%,$4.99,,
8,2973384,0.38,f,1,1,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3.0,3.0,7,$185.00,6,21,t,0,0,5,13,7,2,0,4.83,f,0.15,,$37,$1110,6%,12%,18%,$4.99,0.03561643835616438,941.3013698630137
9,34985473,1.0,t,6,6,Noord-Oost,52.42831,5.042191,Entire home/apt,5,2.0,4.0,4,$135.00,6,1125,t,7,27,57,59,7,3,0,4.43,f,0.2,,$27,$810,8%,13%,17%,$4.99,0.16164383561643836,748.5616438356165
10,620821365404674198,1.0,f,0,0,Bijlmer-Centrum,52.32977343580048,4.937511981512809,Private room,2,1.0,2.0,2,$120.00,1,365,t,17,41,70,343,3,3,3,4.33,t,3.0,,$60,$120,7%,14%,15%,$4.99,,
11,44174770,1.0,t,1,1,Watergraafsmeer,52.33715,4.95199,Private room,1,1.0,1.0,8,$59.00,30,1125,t,0,0,3,245,15,10,0,4.88,t,0.66,,$59,$1770,5%,12%,15%,$2.99,0.6712328767123288,296.5068493150685
12,50888392,1.0,t,0,0,Gaasperdam - Driemond,52.30917,5.03833,Entire home/apt,4,2.0,2.0,13,$150.00,2,1125,t,0,0,0,153,18,18,0,4.94,t,1.73,,$37.5,$300,8%,20%,23%,$4.99,,
13,31742663,0.9400000000000001,f,3,3,Gaasperdam - Driemond,52.29591,5.01325,Entire home/apt,2,1.0,2.0,6,$89.00,2,1125,t,4,13,31,105,20,11,3,4.8,f,0.49,,$44.5,$178,6%,14%,15%,$4.99,,
14,48864190,0.97,f,4,4,IJburg - Zeeburgereiland,52.33851,4.99961,Entire home/apt,16,2.0,12.0,14,$350.00,1,1125,t,19,34,49,300,11,9,0,4.82,t,0.83,,$21.88,$350,-1%,23%,30%,$4.99,,
15,50065811,0.92,f,0,0,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3.0,4.0,14,$275.00,5,42,t,18,48,78,168,7,7,1,4.14,f,0.67,,$45.83,$1375,2%,15%,28%,$4.99,0.4602739726027397,1375.0
16,51340421,0.64,f,2,2,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2.0,2.0,11,$275.00,1,1125,t,10,26,49,317,11,11,3,4.73,f,1.09,,$68.75,$275,11%,15%,23%,$4.99,0.3333333333333333,1345.2380952380952
17,50472290,0.17,f,0,0,Watergraafsmeer,52.33423,4.92661,Entire home/apt,3,2.0,4.0,8,$48.00,14,40,t,5,5,5,104,0,0,0,,t,,,$16,$672,11%,11%,14%,$0.99,0.28493150684931506,240.0
18,18082645,0.29,f,1,1,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,4.0,2.0,6,$150.00,4,1125,t,1,10,25,25,9,1,1,4.88,f,0.14,,$25,$600,9%,13%,18%,$4.99,0.0684931506849315,895.8904109589041
19,33241583,1.0,t,4,4,Geuzenveld - Slotermeer,52.3886,4.83331,Private room,6,3.0,6.0,31,$742.00,1,1125,t,23,39,69,342,79,33,2,4.2700000000000005,t,2.14,,$123.67,$742,2%,19%,19%,$10.99,,
20,33241443,1.0,t,4,4,Geuzenveld - Slotermeer,52.38818,4.83349,Private room,2,1.0,1.0,12,$230.00,1,1125,t,20,49,79,354,108,17,0,4.7,t,2.81,,$115,$230,6%,15%,22%,$4.99,,
21,630205700395904586,0.33,f,1,1,Watergraafsmeer,52.330476805177724,4.935151987399042,Entire home/apt,8,4.0,8.0,21,$640.00,1,365,t,28,58,88,363,0,0,0,,f,,,$80,$640,6%,9%,44%,$10.99,,
22,47709873,1.0,f,34,34,Westerpark,52.39589,4.87612,Entire home/apt,2,1.0,1.0,6,$210.00,3,120,t,0,4,34,159,8,8,0,4.75,t,0.72,,$105,$630,9%,15%,19%,$4.99,0.43561643835616437,1084.849315068493
23,35243521,0.4,f,2,2,Buitenveldert - Zuidas,52.31303,4.87458,Private room,2,1.0,2.0,6,$153.00,1,3,t,10,40,70,70,9,0,0,4.89,f,0.25,,$76.5,$153,6%,25%,18%,$4.99,,
24,2818,1.0,t,1,1,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1.0,2.0,4,$49.00,3,28,t,3,6,9,76,296,18,4,4.47,t,1.84,,$24.5,$147,8%,10%,14%,$0.99,0.20821917808219179,346.90410958904107
25,20168,0.72,f,3,3,Centrum-Oost,52.36407,4.89393,Private room,2,1.0,1.0,7,$106.00,1,365,t,0,0,0,0,339,0,0,4.44,t,2.27,,$53,$106,8%,16%,20%,$4.99,,
